"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Calhoun",1994,56,56,0,0,0,0,0,43,37,19,0,0,0,0,56
"Alabama","Clay",1994,353,276,64,11,2,0,0,197,74,38,0,0,353,0,0
"Alabama","Colbert",1994,285,190,75,19,1,0,0,185,93,42,0,0,274,0,11
"Alabama","DeKalb",1994,347,266,70,11,0,0,0,143,77,38,0,0,341,0,6
"Alabama","Elmore",1994,317,262,44,10,1,0,0,159,74,35,0,0,317,0,0
"Alabama","Escambia",1994,60,59,1,0,0,0,0,58,40,23,0,0,0,0,60
"Alabama","Etowah",1994,61,59,2,0,0,0,0,60,44,29,0,0,0,0,61
"Alabama","Franklin",1994,57,56,1,0,0,0,0,54,33,19,0,0,0,0,57
"Alabama","Geneva",1994,285,262,21,2,0,0,0,108,48,31,0,0,285,0,0
"Alabama","Houston",1994,56,53,3,0,0,0,0,72,44,22,0,0,0,0,56
"Alabama","Jackson",1994,46,45,1,0,0,0,0,51,32,19,0,0,0,0,46
"Alabama","Jefferson",1994,365,254,93,15,3,0,0,166,83,43,91,0,196,0,78
"Alabama","Lawrence",1994,345,230,104,10,1,0,0,154,77,42,0,0,292,53,0
"Alabama","Madison",1994,365,272,77,14,2,0,0,195,90,37,38,0,276,0,51
"Alabama","Marengo",1994,60,60,0,0,0,0,0,43,37,22,0,0,0,0,60
"Alabama","Mobile",1994,365,320,38,7,0,0,0,126,54,31,0,0,327,0,38
"Alabama","Montgomery",1994,363,316,39,7,1,0,0,164,58,32,0,0,320,0,43
"Alabama","Morgan",1994,103,102,1,0,0,0,0,56,36,26,0,0,57,0,46
"Alabama","Pike",1994,56,56,0,0,0,0,0,45,39,25,0,0,0,0,56
"Alabama","Russell",1994,61,61,0,0,0,0,0,48,41,23,0,0,0,0,61
"Alabama","Shelby",1994,346,266,60,15,5,0,0,185,87,37,0,75,264,0,7
"Alabama","Sumter",1994,315,283,30,2,0,0,0,136,51,31,0,0,315,0,0
"Alabama","Talladega",1994,59,57,2,0,0,0,0,57,41,27,0,0,0,0,59
"Alabama","Tuscaloosa",1994,58,58,0,0,0,0,0,49,38,23,0,0,0,0,58
"Alabama","Walker",1994,57,57,0,0,0,0,0,43,35,21,0,0,0,0,57
"Alaska","Anchorage ",1994,362,229,125,8,0,0,0,144,81,43,156,0,0,0,206
"Alaska","Denali ",1994,359,358,1,0,0,0,0,51,40,31,0,0,354,5,0
"Alaska","Fairbanks North Star ",1994,269,201,64,3,1,0,0,168,69,32,177,0,0,0,92
"Alaska","Juneau ",1994,364,346,18,0,0,0,0,72,39,14,0,0,0,0,364
"Alaska","Ketchikan Gateway ",1994,146,145,1,0,0,0,0,54,20,9,0,0,0,0,146
"Arizona","Cochise",1994,356,225,127,4,0,0,0,108,74,46,0,0,344,2,10
"Arizona","Coconino",1994,363,233,122,8,0,0,0,119,77,48,0,0,361,2,0
"Arizona","Gila",1994,148,135,13,0,0,0,0,69,47,27,0,0,0,93,55
"Arizona","Graham",1994,54,54,0,0,0,0,0,46,38,22,0,0,0,0,54
"Arizona","Maricopa",1994,365,76,218,65,6,0,0,177,119,71,124,9,227,0,5
"Arizona","Navajo",1994,130,128,2,0,0,0,0,64,32,17,0,0,0,89,41
"Arizona","Pima",1994,365,151,184,30,0,0,0,150,100,55,42,97,220,0,6
"Arizona","Santa Cruz",1994,84,72,12,0,0,0,0,81,53,29,0,0,0,0,84
"Arizona","Yavapai",1994,61,60,1,0,0,0,0,51,33,18,0,0,0,0,61
"Arizona","Yuma",1994,37,36,1,0,0,0,0,56,47,30,0,0,0,0,37
"Arkansas","Arkansas",1994,57,55,2,0,0,0,0,55,41,24,0,0,0,0,57
"Arkansas","Ashley",1994,61,59,2,0,0,0,0,54,40,24,0,0,0,0,61
"Arkansas","Clark",1994,360,291,56,13,0,0,0,147,71,36,0,0,360,0,0
"Arkansas","Craighead",1994,61,56,5,0,0,0,0,57,46,21,0,0,0,0,61
"Arkansas","Crittenden",1994,365,274,71,17,3,0,0,179,93,37,0,0,362,0,3
"Arkansas","Garland",1994,55,54,1,0,0,0,0,51,33,18,0,0,0,0,55
"Arkansas","Jefferson",1994,53,51,2,0,0,0,0,55,36,21,0,0,0,0,53
"Arkansas","Marion",1994,57,57,0,0,0,0,0,35,31,16,0,0,0,0,57
"Arkansas","Miller",1994,61,61,0,0,0,0,0,50,33,19,0,0,0,0,61
"Arkansas","Montgomery",1994,362,343,19,0,0,0,0,90,46,33,0,0,362,0,0
"Arkansas","Newton",1994,362,256,98,8,0,0,0,115,74,43,0,0,308,54,0
"Arkansas","Ouachita",1994,60,60,0,0,0,0,0,46,32,20,0,0,0,0,60
"Arkansas","Phillips",1994,58,58,0,0,0,0,0,49,36,21,0,0,0,0,58
"Arkansas","Polk",1994,55,55,0,0,0,0,0,50,33,19,0,0,0,0,55
"Arkansas","Pope",1994,58,58,0,0,0,0,0,44,37,22,0,0,0,0,58
"Arkansas","Pulaski",1994,365,279,72,12,2,0,0,154,77,40,47,65,247,0,6
"Arkansas","Sebastian",1994,56,56,0,0,0,0,0,44,35,20,0,0,0,0,56
"Arkansas","Union",1994,58,58,0,0,0,0,0,44,36,22,0,0,0,0,58
"Arkansas","Washington",1994,52,52,0,0,0,0,0,49,37,21,0,0,0,0,52
"Arkansas","White",1994,49,49,0,0,0,0,0,49,39,19,0,0,0,0,49
"California","Alameda",1994,365,289,69,4,3,0,0,166,64,39,7,186,166,0,6
"California","Amador",1994,365,221,83,48,13,0,0,197,119,44,14,0,351,0,0
"California","Butte",1994,365,227,94,42,2,0,0,164,101,45,26,105,223,0,11
"California","Calaveras",1994,250,106,57,54,32,1,0,203,156,77,3,0,240,0,7
"California","Colusa",1994,365,234,97,32,2,0,0,161,100,43,0,0,310,0,55
"California","Contra Costa",1994,365,298,57,8,2,0,0,179,67,41,1,149,210,0,5
"California","Del Norte",1994,365,361,4,0,0,0,0,71,42,31,0,0,346,19,0
"California","El Dorado",1994,365,151,137,55,22,0,0,197,129,58,57,11,265,29,3
"California","Fresno",1994,365,133,127,56,45,4,0,206,161,64,33,113,206,0,13
"California","Glenn",1994,363,240,94,27,2,0,0,151,97,40,0,0,329,0,34
"California","Humboldt",1994,61,59,2,0,0,0,0,62,35,20,0,0,0,0,61
"California","Imperial",1994,365,78,147,95,44,1,0,212,154,87,11,6,326,0,22
"California","Inyo",1994,364,182,123,43,7,4,5,1364,115,51,3,0,285,4,72
"California","Kern",1994,365,97,112,54,78,24,0,225,192,81,6,63,264,0,32
"California","Kings",1994,363,197,97,59,10,0,0,192,119,47,0,113,226,0,24
"California","Lake",1994,364,308,54,2,0,0,0,115,58,39,0,0,363,0,1
"California","Los Angeles",1994,365,22,124,96,41,82,0,292,221,107,53,146,164,0,2
"California","Madera",1994,359,241,95,22,1,0,0,151,90,44,0,0,338,0,21
"California","Marin",1994,365,322,43,0,0,0,0,86,52,32,0,226,72,62,5
"California","Mariposa",1994,365,187,96,71,11,0,0,197,129,50,0,0,360,0,5
"California","Mendocino",1994,365,347,18,0,0,0,0,78,45,31,0,64,277,0,24
"California","Merced",1994,364,192,83,66,22,1,0,202,136,49,0,79,271,0,14
"California","Modoc",1994,43,41,2,0,0,0,0,74,43,26,0,0,0,0,43
"California","Mono",1994,365,252,89,21,3,0,0,166,90,44,17,0,335,0,13
"California","Monterey",1994,365,351,10,3,1,0,0,166,45,35,0,52,311,0,2
"California","Napa",1994,365,347,15,3,0,0,0,115,46,31,39,97,223,0,6
"California","Nevada",1994,359,232,88,31,7,1,0,202,101,44,30,0,329,0,0
"California","Orange",1994,365,106,175,69,8,7,0,271,113,66,4,241,115,0,5
"California","Placer",1994,365,183,98,59,19,6,0,213,140,50,7,110,245,0,3
"California","Plumas",1994,248,130,93,25,0,0,0,143,101,48,0,0,214,0,34
"California","Riverside",1994,365,78,113,52,53,69,0,263,214,97,8,100,234,0,23
"California","Sacramento",1994,365,173,137,33,19,3,0,217,133,54,61,94,204,0,6
"California","San Benito",1994,365,256,87,22,0,0,0,147,90,42,0,0,358,7,0
"California","San Bernardino",1994,365,48,118,54,41,104,0,292,239,108,0,116,236,2,11
"California","San Diego",1994,365,85,149,88,39,4,0,217,159,79,6,115,241,0,3
"California","San Francisco",1994,365,322,43,0,0,0,0,90,51,33,26,256,73,0,10
"California","San Joaquin",1994,365,219,111,29,6,0,0,190,100,46,17,135,203,0,10
"California","San Luis Obispo",1994,365,266,87,11,1,0,0,159,80,43,0,66,299,0,0
"California","San Mateo",1994,365,323,41,1,0,0,0,102,55,33,9,242,107,0,7
"California","Santa Barbara",1994,365,115,198,42,9,1,0,212,108,64,13,21,330,0,1
"California","Santa Clara",1994,365,239,113,11,2,0,0,174,79,44,15,193,156,0,1
"California","Santa Cruz",1994,365,343,18,4,0,0,0,126,47,35,0,14,340,0,11
"California","Shasta",1994,362,246,76,33,7,0,0,197,105,43,2,0,351,2,7
"California","Siskiyou",1994,356,326,30,0,0,0,0,93,48,35,0,0,340,0,16
"California","Solano",1994,365,321,39,5,0,0,0,140,54,36,42,85,233,0,5
"California","Sonoma",1994,365,342,20,3,0,0,0,133,47,37,9,121,230,0,5
